IDS_PROPQUEST_INC_000000	Event
IDS_PROPQUEST_INC_000049	
IDS_PROPQUEST_INC_000050	Marche erzählt mir, sie habe es vergessen, das Buch zurückzubringen. Ich solle mich beeilen und es zu Mule zurückbringen.
IDS_PROPQUEST_INC_000051	
IDS_PROPQUEST_INC_000052	
IDS_PROPQUEST_INC_000053	Mule bittet mich, zurück zu Marche zu gehen und ein anderes Buch namens Book von Wand mitzubringen.
IDS_PROPQUEST_INC_000054	
IDS_PROPQUEST_INC_000055	
IDS_PROPQUEST_INC_000056	Sie erklärt mir, das Buch habe sie zwar bekommen, jedoch hätten Demians 10 Seiten aus dem Buch gerissen. Sie bittet mich, die Seiten zu ihr zurück zu bringen.
IDS_PROPQUEST_INC_000057	
IDS_PROPQUEST_INC_000058	
IDS_PROPQUEST_INC_000059	Schließlich erhielt ich das Buch. Ich sollte zurück zu Mule gehen.
IDS_PROPQUEST_INC_000060	
IDS_PROPQUEST_INC_000061	
IDS_PROPQUEST_INC_000062	Ich bin Magician geworden. Ich sollte zurück in die Stadt gehen, um mich etwas auszurüsten.
IDS_PROPQUEST_INC_000063	
IDS_PROPQUEST_INC_000064	
IDS_PROPQUEST_INC_000065	Vergeltung für Loshas Welpen
IDS_PROPQUEST_INC_000066	Losha bittet mich, Small Burudeng zu töten, welche ihre Welpen getötet haben. Als Beweis soll ich ihr 20 Small Burudeng Tooth mitbringen.
IDS_PROPQUEST_INC_000067	
IDS_PROPQUEST_INC_000068	
IDS_PROPQUEST_INC_000069	Ein Brief von Boboku
IDS_PROPQUEST_INC_000070	Boboku bittet mich, seinen Brief zu Juria zu bringen, die er über alles liebt.
IDS_PROPQUEST_INC_000071	
IDS_PROPQUEST_INC_000072	
IDS_PROPQUEST_INC_000073	Losha bittet mich, Small Burudeng zu töten, welche ihre Welpen getötet haben. Als Beweis sollst du ihr 20 Small Burudeng Tooth mitbringen.
IDS_PROPQUEST_INC_000074	
IDS_PROPQUEST_INC_000075	
IDS_PROPQUEST_INC_000076	Boboku hat mir erzählt, dass Juria darüber nachdenken wird, wenn er ihr 20 Young Lawolf Tooth von Young Lawolf bringt. Boboku hat mich gebeten, sie zu besorgen.
IDS_PROPQUEST_INC_000077	
IDS_PROPQUEST_INC_000078	
IDS_PROPQUEST_INC_000079	Ich hoffe, dass es gut zwischen Boboku und Juria ausgeht.
IDS_PROPQUEST_INC_000080	
IDS_PROPQUEST_INC_000081	
IDS_PROPQUEST_INC_000082	Vernichte die Bangs
IDS_PROPQUEST_INC_000083	Martin glaubt, dass die Bangs seine Studie stören. Er bittet mich, Boss Bangs zu töten und 50 Arcard Stones als Beweis zu beschaffen.
IDS_PROPQUEST_INC_000084	
IDS_PROPQUEST_INC_000085	
IDS_PROPQUEST_INC_000086	Zur Belohnung gab er mir ein Ring.
IDS_PROPQUEST_INC_000087	
IDS_PROPQUEST_INC_000088	
IDS_PROPQUEST_INC_000089	Bozman braucht Scoll Gems
IDS_PROPQUEST_INC_000090	Bozman bittet mich, 20 Scoll Gems vom Captain Wagsaac für ihn zu besorgen.
IDS_PROPQUEST_INC_000091	
IDS_PROPQUEST_INC_000092	
IDS_PROPQUEST_INC_000093	Er war glücklich, die Scoll Gem zu bekommen.
IDS_PROPQUEST_INC_000094	
IDS_PROPQUEST_INC_000095	
IDS_PROPQUEST_INC_000096	Hilf Bill
IDS_PROPQUEST_INC_000097	Bill braucht 20 Epic Stone, um irgendetwas zu machen. Er fragt mich, ob ich ihm die nicht von den Small Wagsaac besorgen kann.
IDS_PROPQUEST_INC_000098	
IDS_PROPQUEST_INC_000099	
IDS_PROPQUEST_INC_000100	Er beginnt zu arbeiten und bittet mich, etwas später wieder zu kommen.
IDS_PROPQUEST_INC_000101	
IDS_PROPQUEST_INC_000102	
IDS_PROPQUEST_INC_000103	Bulrox Abzeichen
IDS_PROPQUEST_INC_000104	Bill hat ein Abzeichen hergestellt und bittet mich, es Bulrox zu geben.
IDS_PROPQUEST_INC_000105	
IDS_PROPQUEST_INC_000106	
IDS_PROPQUEST_INC_000107	Bulrox ist glücklich, das Abzeichen zu sehen und geht zurück an die Arbeit.
IDS_PROPQUEST_INC_000108	
IDS_PROPQUEST_INC_000109	
IDS_PROPQUEST_INC_000110	Finde die Forge Stones
IDS_PROPQUEST_INC_000111	Bulrox sind die Forge Stones ausgegangen. Er bittet mich, die 10 Forge Stones von Captain Wagsaac zu sammeln.
IDS_PROPQUEST_INC_000112	
IDS_PROPQUEST_INC_000113	
IDS_PROPQUEST_INC_000114	Als Belohnung stellt er mir eine Waffe her.
IDS_PROPQUEST_INC_000115	
IDS_PROPQUEST_INC_000116	
IDS_PROPQUEST_INC_000117	Ein Brief an Tina
IDS_PROPQUEST_INC_000118	Karin bittet mich, einen Brief an ihre Tochter Tina zu überbringen.
IDS_PROPQUEST_INC_000119	
IDS_PROPQUEST_INC_000120	
IDS_PROPQUEST_INC_000121	Ich sollte zurück, um Tina wieder zu treffen.
IDS_PROPQUEST_INC_000122	
IDS_PROPQUEST_INC_000123	
IDS_PROPQUEST_INC_000124	Tina überfliegt Karins Brief und fragt mich anschließend, ob ich ihrer Mutter Karin eine Antwort überbringen kann.
IDS_PROPQUEST_INC_000125	
IDS_PROPQUEST_INC_000126	
IDS_PROPQUEST_INC_000127	Karin liest Tinas Brief und dankt mir dafür, dass ich ihr den Brief gebracht habe.
IDS_PROPQUEST_INC_000128	
IDS_PROPQUEST_INC_000129	
IDS_PROPQUEST_INC_000130	Heimweh
IDS_PROPQUEST_INC_000131	Paul möchte zurück nach Hause, aber die Aibatt halten ihn auf. Er bittet mich, auf die Jagd nach Aibatts zu gehen und 20 Aibatt Wing zu sammeln.
IDS_PROPQUEST_INC_000132	
IDS_PROPQUEST_INC_000133	
IDS_PROPQUEST_INC_000134	Hilf Dunkan
IDS_PROPQUEST_INC_000135	Dunkan braucht Bluemill, um Alkohol herstellen zu können. Er bittet mich, 25 Bluemill von Captain Mushpang zu sammeln.
IDS_PROPQUEST_INC_000136	
IDS_PROPQUEST_INC_000137	
IDS_PROPQUEST_INC_000138	Wie kann er einen so starken Alkohol in einem Zug austrinken!
IDS_PROPQUEST_INC_000139	
IDS_PROPQUEST_INC_000140	
IDS_PROPQUEST_INC_000141	Der Kopf der Vagranten
IDS_PROPQUEST_INC_000142	Als Vorsitzender der Vagrantverbindung bittet er mich, ein Geschenk von jedem seiner Freunde Valin, Mule und Rooney abzuholen.
IDS_PROPQUEST_INC_000143	
IDS_PROPQUEST_INC_000144	
IDS_PROPQUEST_INC_000145	Nachdem ich ihm die Geschenke gegeben habe, bittet er mich 15 Pukepuke Knife von Capitain Pukepuke zu sammeln, die nördlich der Berge leben.
IDS_PROPQUEST_INC_000146	
IDS_PROPQUEST_INC_000147	
IDS_PROPQUEST_INC_000148	Muss 15 Pukepuke Knife von Captain Pukepuke sammeln.
IDS_PROPQUEST_INC_000149	
IDS_PROPQUEST_INC_000150	
IDS_PROPQUEST_INC_000151	Nachdem ich Stin die 15 Pukepuke Knife gegeben habe, gab er mir eine Suit.
IDS_PROPQUEST_INC_000152	
IDS_PROPQUEST_INC_000153	
IDS_PROPQUEST_INC_000154	Bastel eine Karte
IDS_PROPQUEST_INC_000155	Ich habe den Kartograph Jeff getroffen. Er gibt mir das Stück der Karte und ich soll ihm berichten, wenn ich seinen Freund Tomy finde. Tomy ist im Ostteil von Flaris.
IDS_PROPQUEST_INC_000156	
IDS_PROPQUEST_INC_000157	
IDS_PROPQUEST_INC_000158	Tomy gibt mir ein anderes Stück der Karte und ich soll ihm berichten, wenn ich seine Freundin Masa finde, um eine neue Karte zu machen. Sie ist im nordöstlichen Teil von Flaris.
IDS_PROPQUEST_INC_000159	
IDS_PROPQUEST_INC_000160	
IDS_PROPQUEST_INC_000161	Mit Hilfe von Jeff, Tomy und Masa erhielt ich endlich die fertige Karte. Sie wird sehr hilfreich sein.
IDS_PROPQUEST_INC_000162	
IDS_PROPQUEST_INC_000163	
IDS_PROPQUEST_INC_000164	Die Uhrwerksfeder
IDS_PROPQUEST_INC_000165	Uhrwerk Verwalter Maki fragte mich, ob ich ihm 10 Will of Rock von Boss Cardpuppet besorgen kann. So könnte er wieder am Uhrwerk arbeiten. 
IDS_PROPQUEST_INC_000166	
IDS_PROPQUEST_INC_000167	
IDS_PROPQUEST_INC_000168	Ist es nicht genug? Ich werde es nicht nochmal wiederholen.
IDS_PROPQUEST_INC_000169	
IDS_PROPQUEST_INC_000170	
IDS_PROPQUEST_INC_000171	Ärgere die Lawolfs
IDS_PROPQUEST_INC_000172	Der Demian redet! Er fragt mich, ob ich für ihn 15 Secret Map von den Grownup Lawolf sammeln kann, damit er sich über sie lustig machen kann.
IDS_PROPQUEST_INC_000173	
IDS_PROPQUEST_INC_000174	
IDS_PROPQUEST_INC_000175	Der erste Flugtest
IDS_PROPQUEST_INC_000176	Um zu fliegen, benötige ich eine Fluglizenz. Der erste Aufgabe dafür ist es, 6 Fefern Leg von den Fefern zu sammeln.
IDS_PROPQUEST_INC_000177	
IDS_PROPQUEST_INC_000178	
IDS_PROPQUEST_INC_000179	Ich habe die erste Aufgabe erfüllt. Die zweite Aufgabe kann ich von Tina bekommen, ich muss mindestens LvL 18 sein.
IDS_PROPQUEST_INC_000180	
IDS_PROPQUEST_INC_000181	
IDS_PROPQUEST_INC_000182	Der zweite Flugtest
IDS_PROPQUEST_INC_000183	Die zweite Aufgabe für die Fluglizenz ist es, 8 Bang Chain von den Bangs zu sammeln.
IDS_PROPQUEST_INC_000184	
IDS_PROPQUEST_INC_000185	
IDS_PROPQUEST_INC_000186	Ich habe die zweite Aufgabe erfüllt. Die letzte Aufgabe kann ich von Martin in Saint Morning bekommen, aber ich muss mindestens LvL 19 sein.
IDS_PROPQUEST_INC_000187	
IDS_PROPQUEST_INC_000188	
IDS_PROPQUEST_INC_000189	Der letzte Flugtest
IDS_PROPQUEST_INC_000190	Martin weiht mich in den Sinn des Fliegens ein. Er erzählt mir, dass Marche in Flaris mir es beibringen kann.
IDS_PROPQUEST_INC_000191	
IDS_PROPQUEST_INC_000192	
IDS_PROPQUEST_INC_000193	Marche bringt mir die Bedeutung des Fliegens freundlich bei und gibt mir sogar ein Blinkwing, um zurück nach Saint Morning zu kommen.
IDS_PROPQUEST_INC_000194	
IDS_PROPQUEST_INC_000195	
IDS_PROPQUEST_INC_000196	Fertig, ich habe alle Tests bestanden. Alles was ich jetzt noch tun muss, ist zu Tina zu gehen und den Besen zusamenbauen zu lassen.Ich muss LvL 20 dafür sein.
IDS_PROPQUEST_INC_000197	
IDS_PROPQUEST_INC_000198	
IDS_PROPQUEST_INC_000199	Das Haarfärbemittel ist ausgegangen
IDS_PROPQUEST_INC_000200	Edward benötigt Färbematerial für seinen Schönheitsladen und bittet mich, 20 Nyang Nyang Hair von Creep Nyangnyang zu sammeln.
IDS_PROPQUEST_INC_000201	
IDS_PROPQUEST_INC_000202	
IDS_PROPQUEST_INC_000203	Er gibt mir ein Hair Coupon, das für eine kostenlose Haaränderung verwendet werden kann.
IDS_PROPQUEST_INC_000204	
IDS_PROPQUEST_INC_000205	
IDS_PROPQUEST_INC_000206	Ein Besen von Herzen
IDS_PROPQUEST_INC_000207	Jeff möchte seine Frau Kimberley in Saint Morning sehen. Deshalb bittet er mich, einen Besen für ihn zu besorgen. Ich sollte zu Dior gehen.
IDS_PROPQUEST_INC_000208	
IDS_PROPQUEST_INC_000209	
IDS_PROPQUEST_INC_000210	Nachdem Dior mir den Besen gegeben hat, fängt sie an, zu grübeln. Jeff sollte ihn haben.
IDS_PROPQUEST_INC_000211	
IDS_PROPQUEST_INC_000212	
IDS_PROPQUEST_INC_000213	Jeff ist sehr dankbar über den Besen. Jetzt kann er los, um seine Frau zu sehen.
IDS_PROPQUEST_INC_000214	
IDS_PROPQUEST_INC_000215	
IDS_PROPQUEST_INC_000216	Pumpkin Mask
IDS_PROPQUEST_INC_000217	Leann fragt mich, ob ich 10 Pumpkin Head von Rotten Mr Pumpkin besorgen kann. Damit könnte sie eine Maske anfertigen.
IDS_PROPQUEST_INC_000218	
IDS_PROPQUEST_INC_000219	
IDS_PROPQUEST_INC_000220	Als ich sehen konnte, dass Leann glücklich war, fühlte ich mich auch glücklich.
IDS_PROPQUEST_INC_000221	
IDS_PROPQUEST_INC_000222	
IDS_PROPQUEST_INC_000223	Das beste Remantis Laccotte Rezept
IDS_PROPQUEST_INC_000224	Das Ei von einem Grownup Red Mantis ist eine seltene Köstlichkeit. Ich muss 10 Red Mantis Eggs dafür sammeln.
IDS_PROPQUEST_INC_000225	
IDS_PROPQUEST_INC_000226	
IDS_PROPQUEST_INC_000227	Hmm.. War ich zu unfreundlich?
IDS_PROPQUEST_INC_000228	
IDS_PROPQUEST_INC_000229	
IDS_PROPQUEST_INC_000230	Nachdem ich ihr die Red Mantis Eggs gegeben habe, bittet sie mich 3 Red Mantis Claw von Red Mantis zu sammeln.
IDS_PROPQUEST_INC_000231	
IDS_PROPQUEST_INC_000232	
IDS_PROPQUEST_INC_000233	Zu sehen, dass sie glücklich war, war es wert es zu tun.
IDS_PROPQUEST_INC_000234	
IDS_PROPQUEST_INC_000235	
IDS_PROPQUEST_INC_000236	Rette Saint Pangs Haustier
IDS_PROPQUEST_INC_000237	Sein Pet wurde zum Ausgleich der Schulden verkauft. Ich glaube Maki ist zu kaltherzig.
IDS_PROPQUEST_INC_000238	
IDS_PROPQUEST_INC_000239	
IDS_PROPQUEST_INC_000240	Ich wurde getäuscht. Gut, jetzt muss ich einen Jacks Beard von Captain JackTheHammer sammeln.
IDS_PROPQUEST_INC_000241	
IDS_PROPQUEST_INC_000242	
IDS_PROPQUEST_INC_000243	Er mag wirklich Jacks Beard. Egal, ich sollte zurück nach Saint Pang gehen.
IDS_PROPQUEST_INC_000244	
IDS_PROPQUEST_INC_000245	
IDS_PROPQUEST_INC_000246	Da ich Royal Pang gerettet habe, gibt mir Saint Pang ein Geschenk. Ich finde das wirklich nett.
IDS_PROPQUEST_INC_000247	
IDS_PROPQUEST_INC_000248	
IDS_PROPQUEST_INC_000249	Flyff Lieferservice
IDS_PROPQUEST_INC_000250	Seit 6 Monaten hat sie ihre Kleidung schon nicht mehr gewechselt? Ich sollte zu Ismeralda in Flaris gehen.
IDS_PROPQUEST_INC_000251	
IDS_PROPQUEST_INC_000252	
IDS_PROPQUEST_INC_000253	Gleich hier. Was für ein schmutziges Kleidungsstück. Ich muß zurück zu Herth gehen.
IDS_PROPQUEST_INC_000254	
IDS_PROPQUEST_INC_000255	
IDS_PROPQUEST_INC_000256	Jetzt kann sie sauberes Kleidung tragen.
IDS_PROPQUEST_INC_000257	
IDS_PROPQUEST_INC_000258	
IDS_PROPQUEST_INC_000259	Saint Holy wird vermisst - Teil 1
IDS_PROPQUEST_INC_000260	Saint Holy wird vermisst und ohne ihn können Leute nicht wiederbelebt werden. Es scheint, dass Karin darüber irgendwas weiß.
IDS_PROPQUEST_INC_000261	
IDS_PROPQUEST_INC_000262	
IDS_PROPQUEST_INC_000263	Karin denkt, dass Bill es war, der ihn gestohlen hat. Sie scheint Bill nicht zu mögen.
IDS_PROPQUEST_INC_000264	
IDS_PROPQUEST_INC_000265	
IDS_PROPQUEST_INC_000266	Bill erklärte, dass er zu diesen Zeitpunkt mit Tina zusammen war. Ich sollte zu Tina gehen.
IDS_PROPQUEST_INC_000267	
IDS_PROPQUEST_INC_000268	
IDS_PROPQUEST_INC_000269	Tina bestätigt, dass Bill bei ihr war. Wer war es dann? Tina denkt, dass Martin etwas wissen könnte.
IDS_PROPQUEST_INC_000270	
IDS_PROPQUEST_INC_000271	
IDS_PROPQUEST_INC_000272	Endlich bekomme ich einen Anhaltspunkt. Ich sollte zu Bozman gehen.
IDS_PROPQUEST_INC_000273	
IDS_PROPQUEST_INC_000274	
IDS_PROPQUEST_INC_000275	Dies war einmal ein Haarband der Helferinnen und Helena ist deren Verwalterin. Ich sollte zu ihr gehen.
IDS_PROPQUEST_INC_000276	
IDS_PROPQUEST_INC_000277	
IDS_PROPQUEST_INC_000278	Saint Holy wird vermisst - Teil 2
IDS_PROPQUEST_INC_000279	Da ein H im Halsband eingraviert. Ich vermute, dass es Helena gehört.
IDS_PROPQUEST_INC_000280	
IDS_PROPQUEST_INC_000281	
IDS_PROPQUEST_INC_000282	Es gehört Herth. Ich sollte zu ihr gehen, um sie zu sehen.
IDS_PROPQUEST_INC_000283	
IDS_PROPQUEST_INC_000284	
IDS_PROPQUEST_INC_000285	Herth bekennt sich schuldig und bittet mich, ihr Geheimnis für mich zu behalten. Gut, ich sollte Helena aufsuchen.
IDS_PROPQUEST_INC_000286	
IDS_PROPQUEST_INC_000287	
IDS_PROPQUEST_INC_000288	Weiß Helena es bereits? Sie fragt mich nicht wer es gewesen ist.
IDS_PROPQUEST_INC_000289	
IDS_PROPQUEST_INC_000290	
IDS_PROPQUEST_INC_000291	Rette die Ruinen von Rhisis - Teil 1
IDS_PROPQUEST_INC_000292	Der Garten der Rhisis stirbt. Um dies zu beweisen, benötige ich 10 Bearer Heart von Tombstonebearer.
IDS_PROPQUEST_INC_000293	
IDS_PROPQUEST_INC_000294	
IDS_PROPQUEST_INC_000295	Ann denkt, ich sollte Janne besuchen.
IDS_PROPQUEST_INC_000296	
IDS_PROPQUEST_INC_000297	
IDS_PROPQUEST_INC_000298	Rette die Ruinen von Rhisis - Teil 2
IDS_PROPQUEST_INC_000299	Kimberley hat ein Gegenstand namens Bone Bowl. Ich sollte sie besuchen.
IDS_PROPQUEST_INC_000300	
IDS_PROPQUEST_INC_000301	
IDS_PROPQUEST_INC_000302	Na dann, es war eine gute Sache, dass ich den Hair Coupon bekommen habe. Jetzt sollte ich zurück zu Janne gehen.
IDS_PROPQUEST_INC_000303	
IDS_PROPQUEST_INC_000304	
IDS_PROPQUEST_INC_000305	Nachdem ich Janne die Bearer Hearts überreicht habe, erklärt sie mir, ich sollte zu Marche in Flaris gehen.
IDS_PROPQUEST_INC_000306	
IDS_PROPQUEST_INC_000307	
IDS_PROPQUEST_INC_000308	Rette die Ruinen von Rhisis - Teil 2
IDS_PROPQUEST_INC_000309	Sobald ich Ann die Bone Bowl und die Bearer Hearts gegeben habe, überreicht sie mir den Life Tea. Ich sollte zurück zu Ann gehen.
IDS_PROPQUEST_INC_000310	
IDS_PROPQUEST_INC_000311	
IDS_PROPQUEST_INC_000312	Wenn ich Ann den Life Tea gebe, gibt sie mir einen Ohrring als Belohnung.
IDS_PROPQUEST_INC_000313	
IDS_PROPQUEST_INC_000314	
IDS_PROPQUEST_INC_000315	Make a Guild
IDS_PROPQUEST_INC_000316	Die erste Aufgabe zum Bilden der Gilde ist, 20 Peakyrind, 10 Furious Match, 8 Boband, 5 Orbrin und 5 Droil zu sammeln. Wo soll ich all diese Gegenstände herbekommen?
IDS_PROPQUEST_INC_000317	
IDS_PROPQUEST_INC_000318	
IDS_PROPQUEST_INC_000319	Die zweite Aufgabe zum Bilden der Gilde ist, 3.000.000 Penya zu sammeln. Wo soll ich nur so viel Geld her bekommen?
IDS_PROPQUEST_INC_000320	
IDS_PROPQUEST_INC_000321	
IDS_PROPQUEST_INC_000322	Ich benötige eine Party mit 3 Mitgliedern. Ich war eine gute Person, also sollte es einfach werden.
IDS_PROPQUEST_INC_000323	
IDS_PROPQUEST_INC_000324	
IDS_PROPQUEST_INC_000325	Gerüchte über Clockworks
IDS_PROPQUEST_INC_000326	Dr. Est.. Wie finde ich ihn in Darkon?
IDS_PROPQUEST_INC_000327	
IDS_PROPQUEST_INC_000328	
IDS_PROPQUEST_INC_000329	Das Monster Book 1 erzählt von der Geburt Clockworks. Ich hatte es noch nie, obwohl ich alles wissen müsste. Weiß einer wo ich hingehen muss? Flaris oder Saint Morning?
IDS_PROPQUEST_INC_000330	
IDS_PROPQUEST_INC_000331	
IDS_PROPQUEST_INC_000332	Sie sehen irgendwie alle gleich aus. Verdammt. Wenn er sich so sehr einen Gilden Cloak wünscht soll er doch einer Gilde beitreten.
IDS_PROPQUEST_INC_000333	
IDS_PROPQUEST_INC_000334	
IDS_PROPQUEST_INC_000335	Monster Book 3! Die letzte Sache, die ich benötige, ist ein anderes Buch zum Lesen.
IDS_PROPQUEST_INC_000336	
IDS_PROPQUEST_INC_000337	
IDS_PROPQUEST_INC_000338	Monster Book 2. Ich möchte wirklich nicht diese Art Buch lesen.
IDS_PROPQUEST_INC_000339	
IDS_PROPQUEST_INC_000340	
IDS_PROPQUEST_INC_000341	Ich habe mir all den Ärger nur für ein Stück Stein gemacht? Clockworks, hier komme ich!
IDS_PROPQUEST_INC_000342	
IDS_PROPQUEST_INC_000343	
IDS_PROPQUEST_INC_000344	Path of Heroes -One-
IDS_PROPQUEST_INC_000345	Weißt du wie die Helden die Welt retteten? Selbstverständlich weißt du es nicht. Es passierte vor langer Zeit. Ich weis nicht mal selber viel darüber.
IDS_PROPQUEST_INC_000346	Ich denke, dass du eines Tages groß wirst. Ich weiss. Aber nicht jetzt..
IDS_PROPQUEST_INC_000347	Wir spielen <Legend of Heros>. Komm, um zu sehen ob es was wird.
IDS_PROPQUEST_INC_000348	OH... Du bist <Acrobat>. Traurig aber hier kannst du dich nicht als <Acrobat> melden. Geh nach <Darkon> und guck was du da tun kannst.
IDS_PROPQUEST_INC_000349	Geh zu <Sage Radion>. Er mag reisen und ich hörte, daß er in <Flaris> ist.
IDS_PROPQUEST_INC_000350	Rede mit <Sage Radion>
IDS_PROPQUEST_INC_000351	In Bearbeitung
IDS_PROPQUEST_INC_000352	Der meist glückliche Geschichten Sammler Brodeay. Da versteckt sich was hinter seinen lächeln.
IDS_PROPQUEST_INC_000353	Glückwunsch! Du wurdest zum klugen Halter des Helden.
IDS_PROPQUEST_INC_000354	Abgeschlossen
IDS_PROPQUEST_INC_000355	Path of Heroes -Two-
IDS_PROPQUEST_INC_000356	Es gibt viele Geheimnise in Madrigal. Ich habe über 1000 gelebt, aber es gibt mehr Geheimnise, dass ich nicht mehr weis, was ich weis.
IDS_PROPQUEST_INC_000357	Möchtest du stark sein? Um stark zu werden, musst du dich viel Bemühen, was du nicht machst.
IDS_PROPQUEST_INC_000358	Alles ist bereit, wie es sein sollte. Du hast dem zu folgen.
IDS_PROPQUEST_INC_000359	Ancimys liebt das Glückspiel. Alles was er kann ist Schere Stein Papier. Er wurde schon in der Nähe von Flaris auf den schwebenden Inseln, in der Nähe eines freundlichen Baums in Saint Morning oder bei der Erons Fabrik in Darkon gesehen.
IDS_PROPQUEST_INC_000360	Finde Ancimys und sammle 6 Traces of Hero. Jede Kategorie hat zwei unterschiedliche Arten.
IDS_PROPQUEST_INC_000361	In Bearbeitung
IDS_PROPQUEST_INC_000362	Gebe das <Trace of Hero> <Schwester Venken>. Verlier es nicht. 
IDS_PROPQUEST_INC_000363	Treffe <Schwester Venken> und gib ihr das <Trace of Hero>.
IDS_PROPQUEST_INC_000364	Abgeschlossen
IDS_PROPQUEST_INC_000365	Path of Heroes -Three-
IDS_PROPQUEST_INC_000366	<Heros Shine> Ist der Platz wo man die Führer und Beschützer des <Path of Heros> findet.
IDS_PROPQUEST_INC_000367	Du bist es noch nicht würdig dem Weg zum Helden einzuschlagen. Ich kann dich nicht leiten.
IDS_PROPQUEST_INC_000368	Nur tapfere und starke werden den Weg des Helden bestreiten.
IDS_PROPQUEST_INC_000369	Helden beobachtete dich schon die ganze Zeit. Folge den Weg des Helden. Man wird sich um dich kümmern.
IDS_PROPQUEST_INC_000370	Du bist es noch nicht würdig dem Weg zum Helden einzuschlagen. Ich kann dich nicht leiten.
IDS_PROPQUEST_INC_000371	Nur tapfere und starke werden den Weg des Helden bestreiten.
IDS_PROPQUEST_INC_000372	Wir sind hier wegen den Helden. Wir sollten immer zu ihnen dankbar sein.
IDS_PROPQUEST_INC_000373	Du bist es noch nicht würdig dem Weg zum Helden einzuschlagen. Ich kann dich nicht leiten.
IDS_PROPQUEST_INC_000374	Nur tapfere und starke werden den Weg des Helden bestreiten.
