IDS_TEXTCLIENT_INC_000001	Karte
IDS_TEXTCLIENT_INC_000078	Du kannst Emoticons/ Motions benutzen um dich auszudrücken.
IDS_TEXTCLIENT_INC_000079	Du kannst Emoticons/ Motions benutzen um dich auszudrücken.
IDS_TEXTCLIENT_INC_000080	Du kannst mit anderen Spielern handeln.
IDS_TEXTCLIENT_INC_000081	Questfunktionen
IDS_TEXTCLIENT_INC_000082	Dies zeigt die Duell Informationen.
IDS_TEXTCLIENT_INC_000083	Erlaubt es dir eine Haarfarbe/Frisur zu ändern.
IDS_TEXTCLIENT_INC_000084	Deine Freundesliste verwalten.
IDS_TEXTCLIENT_INC_000085	Deine Party verwalten.
IDS_TEXTCLIENT_INC_000086	Deine Gilde verwalten.
IDS_TEXTCLIENT_INC_000087	Deinen Club verwalten.
IDS_TEXTCLIENT_INC_000088	Öffnet das Chatfenster.
IDS_TEXTCLIENT_INC_000089	Sende Nachricht an anderen Benutzer
IDS_TEXTCLIENT_INC_000090	Sende Nachricht an anderen Benutzer.
IDS_TEXTCLIENT_INC_000091	Nachricht verfassen
IDS_TEXTCLIENT_INC_000092	Benutzung des BBS
IDS_TEXTCLIENT_INC_000093	Benutzersuche
IDS_TEXTCLIENT_INC_000094	Gilden Suche
IDS_TEXTCLIENT_INC_000095	Club Suche
IDS_TEXTCLIENT_INC_000096	Shop Suche
IDS_TEXTCLIENT_INC_000097	Video Setting
IDS_TEXTCLIENT_INC_000098	Audio Setting
IDS_TEXTCLIENT_INC_000099	BGM Optionen
IDS_TEXTCLIENT_INC_000100	Passwort ändern
IDS_TEXTCLIENT_INC_000101	Window Effect
IDS_TEXTCLIENT_INC_000102	Wortfilter bearbeiten
IDS_TEXTCLIENT_INC_000103	Mausempfindlichkeit
IDS_TEXTCLIENT_INC_000104	Meine Details
IDS_TEXTCLIENT_INC_000105	Hotkey
IDS_TEXTCLIENT_INC_000106	Theme
IDS_TEXTCLIENT_INC_000107	Etc
IDS_TEXTCLIENT_INC_000108	Game Option
IDS_TEXTCLIENT_INC_000109	Ankündigung
IDS_TEXTCLIENT_INC_000110	Event
IDS_TEXTCLIENT_INC_000111	Version
IDS_TEXTCLIENT_INC_000112	Entwicklungsplan
IDS_TEXTCLIENT_INC_000113	Hilfe
IDS_TEXTCLIENT_INC_000114	Tipps
IDS_TEXTCLIENT_INC_000115	FAQ
IDS_TEXTCLIENT_INC_000116	Vote
IDS_TEXTCLIENT_INC_000117	Am Event teilnehmen
IDS_TEXTCLIENT_INC_000118	Screenshot
IDS_TEXTCLIENT_INC_000119	Nutze alle Funktionen
IDS_TEXTCLIENT_INC_000120	GM Verwaltung
IDS_TEXTCLIENT_INC_000121	Öffnet die Weltenübersicht
IDS_TEXTCLIENT_INC_000122	Öffne Chatfenster
IDS_TEXTCLIENT_INC_000123	Öffne Debug Fenster
IDS_TEXTCLIENT_INC_000124	Charakter Status
IDS_TEXTCLIENT_INC_000125	Control Test
IDS_TEXTCLIENT_INC_000126	Spiel beenden
IDS_TEXTCLIENT_INC_000127	Logout
IDS_TEXTCLIENT_INC_000128	Shop öffnen
IDS_TEXTCLIENT_INC_000129	Dauer der Premium Items
IDS_TEXTCLIENT_INC_000130	Willkommen beid FlyFF
IDS_TEXTCLIENT_INC_000131	Verbindung trennen. \nBitte Warten. \n Bis Bald.
IDS_TEXTCLIENT_INC_000132	Du bist jetzt ein %s.
IDS_TEXTCLIENT_INC_000133	Die nächste Stufe des Quests hat begonnen.
IDS_TEXTCLIENT_INC_000134	Quest abgeschlossen
IDS_TEXTCLIENT_INC_000135	%s erhalten.
IDS_TEXTCLIENT_INC_000136	Du kannst jetzt deine Klasse wechseln.
IDS_TEXTCLIENT_INC_000137	Die Quest %s startet jetzt. Bitte prüfe dein Quest Tagebuch.
IDS_TEXTCLIENT_INC_000138	Du hast die Quest %s abgeschlossen. Gut gemacht!
IDS_TEXTCLIENT_INC_000139	Die Quest %s wurde abgebrochen.
IDS_TEXTCLIENT_INC_000140	Bitte warte, bis das Duell startet.
IDS_TEXTCLIENT_INC_000141	Begebe dich in die Kampfzone!
IDS_TEXTCLIENT_INC_000142	Start!
IDS_TEXTCLIENT_INC_000143	Beendet!
IDS_TEXTCLIENT_INC_000144	Fertig!
IDS_TEXTCLIENT_INC_000145	Kampfergebnis: Rang: %d / Gehört zu %s / Anz. d. Überlebenden: %d
IDS_TEXTCLIENT_INC_000146	Begebe dich in die Kampfzone!
IDS_TEXTCLIENT_INC_000147	Start!
IDS_TEXTCLIENT_INC_000148	Nicht in der Lage Items zu benutzen.
IDS_TEXTCLIENT_INC_000149	Tote Menschen erzählen keine Geschichten.
IDS_TEXTCLIENT_INC_000150	Beobachter Modus. Chatten ist nicht erlaubt.
IDS_TEXTCLIENT_INC_000151	Server Name: %s / Anzahl der Spieler: %d
IDS_TEXTCLIENT_INC_000152	Spielfortschritt: Spielzeit: %d Minuten sind vergangen / Gehört zu: %s / Überlebende: %d / Gefallene Kameraden: %d
IDS_TEXTCLIENT_INC_000153	Die bist nicht auf der Liste der Kampfteilnehmer.
IDS_TEXTCLIENT_INC_000154	Du kannst dich zur Zeit nicht für den Kampf registrieren.
IDS_TEXTCLIENT_INC_000155	LEVEL UP! Du kannst deine Attribute jetzt im Statusfenster erhöhen.
IDS_TEXTCLIENT_INC_000156	Lass dich in der Stadt (Lodestar) oder im Feld (Scroll of Resurrection) wiederbeleben. Eine Scroll of Resurrection kann im Flyff Shop erworben werden.
IDS_TEXTCLIENT_INC_000157	Du bist jetzt stärker.
IDS_TEXTCLIENT_INC_000158	Du bist jetzt widerstandsfähiger.
IDS_TEXTCLIENT_INC_000159	Du bist jetzt schneller.
IDS_TEXTCLIENT_INC_000160	Du bist jetzt intelligenter.
IDS_TEXTCLIENT_INC_000161	Job Level Up!
IDS_TEXTCLIENT_INC_000162	Fliegen ist jetzt möglich! 
IDS_TEXTCLIENT_INC_000163	Du hast %s bekommen.
IDS_TEXTCLIENT_INC_000164	Du hast eine neue Attacke erlernt.
IDS_TEXTCLIENT_INC_000165	Areal ist unzugänglich.
IDS_TEXTCLIENT_INC_000166	Fliegen ist erst ab Level 20 möglich. 
IDS_TEXTCLIENT_INC_000167	Du bist satt~ (HP Wiederherstellung ist reduziert, wegen übermäßiger Benutzung.)
IDS_TEXTCLIENT_INC_000168	Dein Geist ist zufrieden. (MP Wiederherstellung ist reduziert, wegen übermäßiger Benutzung.)
IDS_TEXTCLIENT_INC_000169	Nicht genug FP.
IDS_TEXTCLIENT_INC_000170	Nicht genug MP.
IDS_TEXTCLIENT_INC_000171	Du brauchst mehr STR um %s zu benutzen.
IDS_TEXTCLIENT_INC_000172	Du brauchst mehr STA um %s zu benutzen.
IDS_TEXTCLIENT_INC_000173	Du brauchst mehr DEX um %s zu benutzen
IDS_TEXTCLIENT_INC_000174	Du brauchst mehr INT um %s zu benutzen
IDS_TEXTCLIENT_INC_000175	Du kannst %s nicht ausrüsten.
IDS_TEXTCLIENT_INC_000176	%s ist nicht für dein Geschlecht.
IDS_TEXTCLIENT_INC_000177	Du hast %s fallen gelassen.
IDS_TEXTCLIENT_INC_000178	Dieser Items gehört einem anderen Spieler.
IDS_TEXTCLIENT_INC_000179	Nicht genug Geld (Penya).
IDS_TEXTCLIENT_INC_000180	Dein Inventar ist voll.
IDS_TEXTCLIENT_INC_000181	Lege den Items ab, bevor du ihn verkaufen möchtest.
IDS_TEXTCLIENT_INC_000182	%s erhalten.
IDS_TEXTCLIENT_INC_000183	Du hast dich für Lodelight als Wiederbelebungsort entschieden.
IDS_TEXTCLIENT_INC_000184	Während des Fliegens kannst du keine Items wegwerfen.
IDS_TEXTCLIENT_INC_000185	Du hast %s Penya erhalten (Gesamt: %s Penya)
IDS_TEXTCLIENT_INC_000186	Du hast nicht das Recht, diesen Skill zu verwenden.
IDS_TEXTCLIENT_INC_000187	Du kannst nicht mehr als 30,000 Penya wegwerfen. Bitte nutze die Handelsfunktion.
IDS_TEXTCLIENT_INC_000188	Vagrants können %s nicht benutzen.
IDS_TEXTCLIENT_INC_000189	Du kannst mit keinem Spieler handeln, während du einen Shop offen hast.
IDS_TEXTCLIENT_INC_000190	Du kannst keine Items wegwerfen, während einem Handel.
IDS_TEXTCLIENT_INC_000191	Du kannst keine Items während dem Handel benutzen.
IDS_TEXTCLIENT_INC_000192	Du kannst nicht mit einem Spieler und einem NPC zeitgleich handeln.
IDS_TEXTCLIENT_INC_000193	Du kannst nicht mit einem Spieler und einem NPC zeitgleich handeln.
IDS_TEXTCLIENT_INC_000194	Nur der Party Leiter kann diese Funktion nutzen.
IDS_TEXTCLIENT_INC_000195	%s hat eine Party erstellt.
IDS_TEXTCLIENT_INC_000196	%s hat die Party verlassen.
IDS_TEXTCLIENT_INC_000197	%s wurde aus der Party geworfen.
IDS_TEXTCLIENT_INC_000198	Du bist kein Party Mitglied.
IDS_TEXTCLIENT_INC_000199	Die Party wurde aufgelöst.
IDS_TEXTCLIENT_INC_000200	Die Party wurde aufgelöst.
IDS_TEXTCLIENT_INC_000201	%s gehört zu einer anderen Party.
IDS_TEXTCLIENT_INC_000202	%s hat dich in seine Party eingeladen.
IDS_TEXTCLIENT_INC_000203	%s hat %s bekommen.
IDS_TEXTCLIENT_INC_000204	%s hat %s erhalten.
IDS_TEXTCLIENT_INC_000205	Die Item-Verteilung wurde auf %s geändert.
IDS_TEXTCLIENT_INC_000206	Die Exp-Verteilung wurde auf %s geändert.
IDS_TEXTCLIENT_INC_000207	Eine normale Party wurde umgewandelt in die %s Party.
IDS_TEXTCLIENT_INC_000208	Die %s Party wurde zur normalen Party umgewandelt.
IDS_TEXTCLIENT_INC_000209	Du kannst das Monster nicht angreifen, weil das Monster bereits gegen einen anderen Spieler kämpft.
IDS_TEXTCLIENT_INC_000210	%s gehört zur Zeit einem anderen Spieler. Warte bitte.
IDS_TEXTCLIENT_INC_000211	%s gehört einer anderen Party. Warte bitte.
IDS_TEXTCLIENT_INC_000212	Du kannst eine zweihändige Waffe nicht anlegen während du ein Schild trägst.
IDS_TEXTCLIENT_INC_000213	Items im Lagerhaus kannst du nicht ausrüsten.
IDS_TEXTCLIENT_INC_000214	Du kannst keine Items aus dem Lagerhaus wegwerfen.
IDS_TEXTCLIENT_INC_000215	Nicht genug Penya auf der Bank.
IDS_TEXTCLIENT_INC_000216	Handel unmöglich. Der Spieler nutzt gerade das Lagerhaus.
IDS_TEXTCLIENT_INC_000217	Du kannst während der Nutzung des Lagerhauses nicht handeln.
IDS_TEXTCLIENT_INC_000218	Du wurdest von %s getötet.
IDS_TEXTCLIENT_INC_000219	Deine Karma Punkte wurden wiederhergestellt durch %s.
IDS_TEXTCLIENT_INC_000220	%s Karma Punkte wurden reduziert.
IDS_TEXTCLIENT_INC_000221	Dieser Spieler befindet sich bereits in einem Duel.
IDS_TEXTCLIENT_INC_000222	Während dem Duel kannst du nicht fliegen.
IDS_TEXTCLIENT_INC_000223	Das Skill Level von %s wurde auf %d erhöht.
IDS_TEXTCLIENT_INC_000224	Du kannst wegen eines Hindernisses nicht angreifen.
IDS_TEXTCLIENT_INC_000225	Der Handel mit %s abgeschlossen.
IDS_TEXTCLIENT_INC_000226	%s hat den Handel abgeschlossen.
IDS_TEXTCLIENT_INC_000227	Der Handel wurde abgebrochen.
IDS_TEXTCLIENT_INC_000228	Du bist bereits in einer Gilde. Verlasse die Gilde und versuche es erneut.
IDS_TEXTCLIENT_INC_000229	Nur der Gildenmeister kann die Gilde auflösen.
IDS_TEXTCLIENT_INC_000230	Du kannst nicht abbrechen, weil du zu keiner Gilde gehört hast.
IDS_TEXTCLIENT_INC_000231	Der Gildenname ist zu lang.
IDS_TEXTCLIENT_INC_000232	Der Gildenname existiert bereits.
IDS_TEXTCLIENT_INC_000233	%s hat eine Gilde %s gegründet.
IDS_TEXTCLIENT_INC_000234	%s hat die Gilde %s aufgelöst.
IDS_TEXTCLIENT_INC_000235	Die Gilde existiert nicht.
IDS_TEXTCLIENT_INC_000236	Es ist verboten neue Gildenmitglieder einzuladen.
IDS_TEXTCLIENT_INC_000237	Du bist bereits in einer Gilde.
IDS_TEXTCLIENT_INC_000238	Die Gilde ist voll.
IDS_TEXTCLIENT_INC_000239	Du bist der Gilde %s beigetreten
IDS_TEXTCLIENT_INC_000240	%s ist der Gilde beigetreten.
IDS_TEXTCLIENT_INC_000241	Du bist kein Gildenmitglied.
IDS_TEXTCLIENT_INC_000242	%s ist kein Mitglied der Gilde.
IDS_TEXTCLIENT_INC_000243	Nur der Gildenmeister kann Mitglieder rauswerfen.
IDS_TEXTCLIENT_INC_000244	Der Gildenmeister kann die Gilde nicht verlassen.
IDS_TEXTCLIENT_INC_000245	%s hat die Gilde verlassen.
IDS_TEXTCLIENT_INC_000246	Du bist kein Mitglied der Gilde %s.
IDS_TEXTCLIENT_INC_000247	%s ist bereits in einer Gilde.
IDS_TEXTCLIENT_INC_000248	Du hast %s zu deiner Gilde eingeladen.
IDS_TEXTCLIENT_INC_000249	Es ist verboten neue Gildenmitglieder einzuladen.
IDS_TEXTCLIENT_INC_000250	%s hat deine Einladung abgelehnt.
IDS_TEXTCLIENT_INC_000251	Bitte warte.
IDS_TEXTCLIENT_INC_000252	Du benutzt immernoch den Party Skill %s. Versuch es später noch einmal.
IDS_TEXTCLIENT_INC_000253	Party Skill %s wurde aktiviert.
IDS_TEXTCLIENT_INC_000254	Party Skill %s ist abgelaufen.
IDS_TEXTCLIENT_INC_000255	Spieler
IDS_TEXTCLIENT_INC_000256	Party
IDS_TEXTCLIENT_INC_000257	NPC
IDS_TEXTCLIENT_INC_000258	Monster
IDS_TEXTCLIENT_INC_000259	Während des Duel Modus kannst du nicht handeln.
IDS_TEXTCLIENT_INC_000260	Du kannst niemanden während des Duel Modus zu deiner Freundesliste hinzufügen.
IDS_TEXTCLIENT_INC_000261	Online
IDS_TEXTCLIENT_INC_000262	Offline
IDS_TEXTCLIENT_INC_000263	Blocken
IDS_TEXTCLIENT_INC_000264	AFK
IDS_TEXTCLIENT_INC_000265	Beschäftigt
IDS_TEXTCLIENT_INC_000266	Schlafen / Handeln
IDS_TEXTCLIENT_INC_000267	Essen
IDS_TEXTCLIENT_INC_000268	Unterwegs
IDS_TEXTCLIENT_INC_000269	Bewegen
IDS_TEXTCLIENT_INC_000270	Löschen
IDS_TEXTCLIENT_INC_000271	Tod
IDS_TEXTCLIENT_INC_000272	Bedrohen
IDS_TEXTCLIENT_INC_000273	Zulassen
IDS_TEXTCLIENT_INC_000274	Dialog
IDS_TEXTCLIENT_INC_000275	Quest
IDS_TEXTCLIENT_INC_000276	Handel
IDS_TEXTCLIENT_INC_000277	Duell
IDS_TEXTCLIENT_INC_000278	Nachricht
IDS_TEXTCLIENT_INC_000279	Meiner Liste hinzufügen
IDS_TEXTCLIENT_INC_000280	In Party einladen
IDS_TEXTCLIENT_INC_000281	In Gilde einladen
IDS_TEXTCLIENT_INC_000282	Briefkasten
IDS_TEXTCLIENT_INC_000283	Helfen
IDS_TEXTCLIENT_INC_000284	Annehmen
IDS_TEXTCLIENT_INC_000285	Status
IDS_TEXTCLIENT_INC_000286	Abbrechen
IDS_TEXTCLIENT_INC_000287	Enter
IDS_TEXTCLIENT_INC_000288	Rangliste
IDS_TEXTCLIENT_INC_000289	Ort der Wiederbelebung
IDS_TEXTCLIENT_INC_000290	Einlagern
IDS_TEXTCLIENT_INC_000291	Duell
IDS_TEXTCLIENT_INC_000292	Party Duell erfragen.
IDS_TEXTCLIENT_INC_000293	Folgen
IDS_TEXTCLIENT_INC_000294	Beauty Shop
IDS_TEXTCLIENT_INC_000295	Gildenlager
IDS_TEXTCLIENT_INC_000296	Gilden Rangliste
IDS_TEXTCLIENT_INC_000297	Gildenkrieg Rangliste
IDS_TEXTCLIENT_INC_000298	Gesamte Gildenkrieg Rangliste
IDS_TEXTCLIENT_INC_000299	Upgrade
IDS_TEXTCLIENT_INC_000300	Ausrüstung ansehen
IDS_TEXTCLIENT_INC_000301	Die Party ist voll. Die maximale Anzahl der Partymitglieder ist 8.
IDS_TEXTCLIENT_INC_000302	Die Party ist voll. Die maximale Anzahl der Partymitglieder ist 8.
IDS_TEXTCLIENT_INC_000303	Die Party ist voll. Die maximale Anzahl der Partymitglieder ist 8.
IDS_TEXTCLIENT_INC_000304	Die Party existiert nicht.
IDS_TEXTCLIENT_INC_000305	Der Spieler kann der Party nicht beitreten.
IDS_TEXTCLIENT_INC_000306	Der Party Name wird bereits verwendet. Wähle bitte einen anderen.
IDS_TEXTCLIENT_INC_000307	Nicht genug Party Punkte.
IDS_TEXTCLIENT_INC_000308	Der Skill wurde noch nicht erlernt.
IDS_TEXTCLIENT_INC_000309	Kein Angriff möglich, kein Monster ausgewählt.
IDS_TEXTCLIENT_INC_000310	Die Party wurde erstellt.
IDS_TEXTCLIENT_INC_000311	%s ist der Party beigetreten.
IDS_TEXTCLIENT_INC_000312	%s ist der Party beigetreten.
IDS_TEXTCLIENT_INC_000313	%s hat die Party verlassen.
IDS_TEXTCLIENT_INC_000314	Du hast die Party verlassen.
IDS_TEXTCLIENT_INC_000315	Die Party wurde aufgelöst.
IDS_TEXTCLIENT_INC_000316	Das Duell mit %s hat begonnen!
IDS_TEXTCLIENT_INC_000317	%s hat das Duell abgelehnt.
IDS_TEXTCLIENT_INC_000318	Das Duell wurde abgebrochen.
IDS_TEXTCLIENT_INC_000319	Das Party Level ist gestiegen.
IDS_TEXTCLIENT_INC_000320	Bewegungsunfähig während des Handel.
IDS_TEXTCLIENT_INC_000321	Der Spieler ist nicht in deiner Party.
IDS_TEXTCLIENT_INC_000322	Der Spieler ist bereits in deiner Party.
IDS_TEXTCLIENT_INC_000323	Der Spieler ist der Party Leader.
IDS_TEXTCLIENT_INC_000324	Du kannst einen Spieler in der sicheren Zone nicht angreifen.
IDS_TEXTCLIENT_INC_000325	Du kannst der sicheren Zone angreifen.
IDS_TEXTCLIENT_INC_000326	PVP ist nur für Spieler über Level 15 verfügbar.
IDS_TEXTCLIENT_INC_000327	Level des Spielers zu niedrig.
IDS_TEXTCLIENT_INC_000328	Du hast %s Ruhmespunkte erhalten.
IDS_TEXTCLIENT_INC_000329	Du hast %s Ruhmespunkte verloren.
IDS_TEXTCLIENT_INC_000330	Dein Inventar ist voll.
IDS_TEXTCLIENT_INC_000331	Nur der Leader kann neue Mitglieder einladen.
IDS_TEXTCLIENT_INC_000332	Die Party wurde in %s umbenannt.
IDS_TEXTCLIENT_INC_000333	Die Party wurde zur erweiterten Party umgewandelt.
IDS_TEXTCLIENT_INC_000334	Die Einladung wurde abgelehnt.
IDS_TEXTCLIENT_INC_000335	Du kannst ein Item nicht wegwerfen, während du mit einem NPC redest.
IDS_TEXTCLIENT_INC_000336	Nicht online.
IDS_TEXTCLIENT_INC_000337	[User Online] %d
IDS_TEXTCLIENT_INC_000338	[GM Information] %s
IDS_TEXTCLIENT_INC_000339	Undying1
IDS_TEXTCLIENT_INC_000340	Undying2
IDS_TEXTCLIENT_INC_000341	Invisible
IDS_TEXTCLIENT_INC_000342	OneKill
IDS_TEXTCLIENT_INC_000343	Silence player
IDS_TEXTCLIENT_INC_000344	Freeze player
IDS_TEXTCLIENT_INC_000345	Status
IDS_TEXTCLIENT_INC_000346	Normal
IDS_TEXTCLIENT_INC_000347	Item existiert nicht.
IDS_TEXTCLIENT_INC_000348	Du kannst dir keine Nachricht senden.
IDS_TEXTCLIENT_INC_000349	%s existiert nicht im Spiel.
IDS_TEXTCLIENT_INC_000350	Es ist nicht möglich einen Spieler in einer sicheren Zone zu attackieren.
IDS_TEXTCLIENT_INC_000351	Es ist nicht möglich in einer sicheren Zone zu attackieren.
IDS_TEXTCLIENT_INC_000352	PVP ist nur verfügbar für Spieler über Level 15.
IDS_TEXTCLIENT_INC_000353	Charakter Level ist zu niedrig.
IDS_TEXTCLIENT_INC_000354	Es ist nicht möglich, einen Spieler anzugreifen, \n der sich in einem Duell befindet.
IDS_TEXTCLIENT_INC_000355	Es ist nicht möglich den gleichen Gegner zweimal \n anzugreifen für die nächsten 10 Minuten.
IDS_TEXTCLIENT_INC_000356	Du hast EXP erhalten.
IDS_TEXTCLIENT_INC_000357	Es ist nicht möglich, den selben Satz zweimal hintereinander zu schreiben.
IDS_TEXTCLIENT_INC_000358	Es ist nicht möglich den Party Chat zu nutzen.
IDS_TEXTCLIENT_INC_000359	/pc %s
IDS_TEXTCLIENT_INC_000360	Position : x = %f, y = %f, z = %f
IDS_TEXTCLIENT_INC_000361	Lege den Gegenstand zuerst ab.
IDS_TEXTCLIENT_INC_000362	[Hilfe]
IDS_TEXTCLIENT_INC_000363	Bitte warte eine Weile.
IDS_TEXTCLIENT_INC_000364	Deine jetzige Position wurde gespeichert als Position.txt.
IDS_TEXTCLIENT_INC_000365	deflyff%05d.bmp wurde im Ordner Capture abgelegt.
IDS_TEXTCLIENT_INC_000366	Du hast %s um eine Erlaubnis, zum Hinzufügen in deinen Messenger, angefragt.
IDS_TEXTCLIENT_INC_000367	Du benutzt bereits das Lagerhaus.
IDS_TEXTCLIENT_INC_000368	Du hast %s für einen Handel angefragt.
IDS_TEXTCLIENT_INC_000369	Du kannst keine Gegenstände handeln, wenn du die Bank benutzt.
IDS_TEXTCLIENT_INC_000370	Du kannst die Bank nicht während dem Handel benutzen.
IDS_TEXTCLIENT_INC_000371	Der Spieler ist nicht in der Duell Zone.
IDS_TEXTCLIENT_INC_000372	Auseinandersetzungen musst du in der Duell Zone austragen.
IDS_TEXTCLIENT_INC_000373	Unmöglich sich zu duellieren. Der Charakter ist zu niedrig.
IDS_TEXTCLIENT_INC_000374	Der Spieler befindet sich bereits in einem Duell.
IDS_TEXTCLIENT_INC_000375	Nachricht senden schlug fehl, %s wird blockiert.
IDS_TEXTCLIENT_INC_000376	Das Duell mit der Party %s hat begonnen.
IDS_TEXTCLIENT_INC_000377	Das Duell wurde abgebrochen.
IDS_TEXTCLIENT_INC_000378	Du hast das Party Duell gewonnen.
IDS_TEXTCLIENT_INC_000379	Du hast das Party Duell verloren.
IDS_TEXTCLIENT_INC_000380	%s lehnt Flüstern/Messenger in seinen Optionen ab.
IDS_TEXTCLIENT_INC_000381	%s lehnt Messenger in seinen Optionen ab.
IDS_TEXTCLIENT_INC_000382	%s lehnt Handeln in seinen Optionen ab.
IDS_TEXTCLIENT_INC_000383	Du kannst dies nicht während des Handelns tun.
IDS_TEXTCLIENT_INC_000384	Du benutzt den Schönheitssalon.
IDS_TEXTCLIENT_INC_000385	Position : x = %f, y = %f, z = %f
IDS_TEXTCLIENT_INC_000386	%s hat die Einladung zur Party abgelehnt.
IDS_TEXTCLIENT_INC_000387	%s gehört bereits zu einer anderen Party.
IDS_TEXTCLIENT_INC_000388	Du konntest der Party nicht beitreten.
IDS_TEXTCLIENT_INC_000389	%s lehnt Party seinen Einstellungen ab.
IDS_TEXTCLIENT_INC_000390	Du kannst keine Spieler von einem anderen Server einladen.
IDS_TEXTCLIENT_INC_000391	Areal unzugänglich.
IDS_TEXTCLIENT_INC_000392	Maximale Reichweite erreicht.
IDS_TEXTCLIENT_INC_000393	Du kannst ein Party Mitglied nicht attackieren.
IDS_TEXTCLIENT_INC_000394	Die Erlaubnis eines Elternteils oder der eines Vormunds wird für Spieler unter 14 Jahren erfordert.
IDS_TEXTCLIENT_INC_000395	Handel ablehnen ist aktiviert.
IDS_TEXTCLIENT_INC_000396	Der Handel wurde abgebrochen.
IDS_TEXTCLIENT_INC_000397	EXP Aufteilung ist noch nicht eingestellt.
