IDS_PROPMOVER_TXT_000000	Default
IDS_PROPMOVER_TXT_000051	
IDS_PROPMOVER_TXT_000052	Giant Demian
IDS_PROPMOVER_TXT_000053	
IDS_PROPMOVER_TXT_000054	Small Doridoma
IDS_PROPMOVER_TXT_000055	
IDS_PROPMOVER_TXT_000056	Doridoma
IDS_PROPMOVER_TXT_000057	
IDS_PROPMOVER_TXT_000058	Captain Doridoma
IDS_PROPMOVER_TXT_000059	
IDS_PROPMOVER_TXT_000060	Giant Doridoma
IDS_PROPMOVER_TXT_000061	
IDS_PROPMOVER_TXT_000062	Young Lawolf
IDS_PROPMOVER_TXT_000063	
IDS_PROPMOVER_TXT_000064	Lawolf
IDS_PROPMOVER_TXT_000065	
IDS_PROPMOVER_TXT_000066	Grownup Lawolf
IDS_PROPMOVER_TXT_000067	
IDS_PROPMOVER_TXT_000068	Giant Lawolf
IDS_PROPMOVER_TXT_000069	
IDS_PROPMOVER_TXT_000070	Young Fefern
IDS_PROPMOVER_TXT_000071	
IDS_PROPMOVER_TXT_000072	Fefern
IDS_PROPMOVER_TXT_000073	
IDS_PROPMOVER_TXT_000074	Grownup Fefern
IDS_PROPMOVER_TXT_000075	
IDS_PROPMOVER_TXT_000076	Giant Fefern
IDS_PROPMOVER_TXT_000077	
IDS_PROPMOVER_TXT_000078	Cute Nyangnyang
IDS_PROPMOVER_TXT_000079	
IDS_PROPMOVER_TXT_000080	Nyangnyang
IDS_PROPMOVER_TXT_000081	
IDS_PROPMOVER_TXT_000082	Creep Nyangnyang
IDS_PROPMOVER_TXT_000083	
IDS_PROPMOVER_TXT_000084	Giant Nyangnyang
IDS_PROPMOVER_TXT_000085	
IDS_PROPMOVER_TXT_000086	Bang
IDS_PROPMOVER_TXT_000087	
IDS_PROPMOVER_TXT_000088	Captain Bang
IDS_PROPMOVER_TXT_000089	
IDS_PROPMOVER_TXT_000090	Boss Bang
IDS_PROPMOVER_TXT_000091	
IDS_PROPMOVER_TXT_000092	Giant Bang
IDS_PROPMOVER_TXT_000093	
IDS_PROPMOVER_TXT_000094	Small Wagsaac
IDS_PROPMOVER_TXT_000095	
IDS_PROPMOVER_TXT_000096	Wagsaac
IDS_PROPMOVER_TXT_000097	
IDS_PROPMOVER_TXT_000098	Captain Wagsaac
IDS_PROPMOVER_TXT_000099	
IDS_PROPMOVER_TXT_000100	Giant Wagsaac
IDS_PROPMOVER_TXT_000101	
IDS_PROPMOVER_TXT_000102	Small Mia
IDS_PROPMOVER_TXT_000103	
IDS_PROPMOVER_TXT_000104	Mia
IDS_PROPMOVER_TXT_000105	
IDS_PROPMOVER_TXT_000106	Captain Mia
IDS_PROPMOVER_TXT_000107	
IDS_PROPMOVER_TXT_000108	Giant Mia
IDS_PROPMOVER_TXT_000109	
IDS_PROPMOVER_TXT_000110	Stale Mr Pumpkin
IDS_PROPMOVER_TXT_000111	
IDS_PROPMOVER_TXT_000112	Mr Pumpkin
IDS_PROPMOVER_TXT_000113	
IDS_PROPMOVER_TXT_000114	Rotten Mr Pumpkin
IDS_PROPMOVER_TXT_000115	
IDS_PROPMOVER_TXT_000116	Giant Mr Pumpkin
IDS_PROPMOVER_TXT_000117	
IDS_PROPMOVER_TXT_000118	Grownup Red Mantis
IDS_PROPMOVER_TXT_000119	
IDS_PROPMOVER_TXT_000120	Red Mantis
IDS_PROPMOVER_TXT_000121	
IDS_PROPMOVER_TXT_000122	Young Red Mantis
IDS_PROPMOVER_TXT_000123	
IDS_PROPMOVER_TXT_000124	Giant Red Mantis
IDS_PROPMOVER_TXT_000125	
IDS_PROPMOVER_TXT_000126	Small Jack The Hammer
IDS_PROPMOVER_TXT_000127	
IDS_PROPMOVER_TXT_000128	Jack The Hammer
IDS_PROPMOVER_TXT_000129	
IDS_PROPMOVER_TXT_000130	Captain Jack The Hammer
IDS_PROPMOVER_TXT_000131	
IDS_PROPMOVER_TXT_000132	Giant Jack The Hammer
IDS_PROPMOVER_TXT_000133	
IDS_PROPMOVER_TXT_000134	Small Giggle Box
IDS_PROPMOVER_TXT_000135	
IDS_PROPMOVER_TXT_000136	Giggle Box
IDS_PROPMOVER_TXT_000137	
IDS_PROPMOVER_TXT_000138	Captain Giggle Box
IDS_PROPMOVER_TXT_000139	
IDS_PROPMOVER_TXT_000140	Giant Giggle Box
IDS_PROPMOVER_TXT_000141	
IDS_PROPMOVER_TXT_000142	Small Rock Muscle
IDS_PROPMOVER_TXT_000143	
IDS_PROPMOVER_TXT_000144	Rock Muscle
IDS_PROPMOVER_TXT_000145	
IDS_PROPMOVER_TXT_000146	Captain Rock Muscle
IDS_PROPMOVER_TXT_000147	
IDS_PROPMOVER_TXT_000148	Giant Rock Muscle
IDS_PROPMOVER_TXT_000149	
IDS_PROPMOVER_TXT_000150	Small Hobo
IDS_PROPMOVER_TXT_000151	
IDS_PROPMOVER_TXT_000152	Hobo
IDS_PROPMOVER_TXT_000153	
IDS_PROPMOVER_TXT_000154	Captain Hobo
IDS_PROPMOVER_TXT_000155	
IDS_PROPMOVER_TXT_000156	Giant Hobo
IDS_PROPMOVER_TXT_000157	
IDS_PROPMOVER_TXT_000158	Small DumbBull
IDS_PROPMOVER_TXT_000159	
IDS_PROPMOVER_TXT_000160	DumbBull
IDS_PROPMOVER_TXT_000161	
IDS_PROPMOVER_TXT_000162	Captain DumbBull
IDS_PROPMOVER_TXT_000163	
IDS_PROPMOVER_TXT_000164	Giant DumbBull
IDS_PROPMOVER_TXT_000165	
IDS_PROPMOVER_TXT_000166	Small Totemia
IDS_PROPMOVER_TXT_000167	
IDS_PROPMOVER_TXT_000168	Totemia
IDS_PROPMOVER_TXT_000169	
IDS_PROPMOVER_TXT_000170	Captain Totemia
IDS_PROPMOVER_TXT_000171	
IDS_PROPMOVER_TXT_000172	Giant Totemia
IDS_PROPMOVER_TXT_000173	
IDS_PROPMOVER_TXT_000174	Maid Cardpuppet
IDS_PROPMOVER_TXT_000175	
IDS_PROPMOVER_TXT_000176	Cardpuppet
IDS_PROPMOVER_TXT_000177	
IDS_PROPMOVER_TXT_000178	Manager Cardpuppet
IDS_PROPMOVER_TXT_000179	
IDS_PROPMOVER_TXT_000180	Boss Cardpuppet
IDS_PROPMOVER_TXT_000181	
IDS_PROPMOVER_TXT_000182	Small Tombstonebearer
IDS_PROPMOVER_TXT_000183	
IDS_PROPMOVER_TXT_000184	Tombstonebearer
IDS_PROPMOVER_TXT_000185	
IDS_PROPMOVER_TXT_000186	Captain Tombstonebearer
IDS_PROPMOVER_TXT_000187	
IDS_PROPMOVER_TXT_000188	Giant Tombstonebearer
IDS_PROPMOVER_TXT_000189	
IDS_PROPMOVER_TXT_000190	Phantum Basque
IDS_PROPMOVER_TXT_000191	
IDS_PROPMOVER_TXT_000192	Basque
IDS_PROPMOVER_TXT_000193	
IDS_PROPMOVER_TXT_000194	Lumping Basque
IDS_PROPMOVER_TXT_000195	
IDS_PROPMOVER_TXT_000196	Giant Basque
IDS_PROPMOVER_TXT_000197	
IDS_PROPMOVER_TXT_000198	Smallmage Prankster
IDS_PROPMOVER_TXT_000199	
IDS_PROPMOVER_TXT_000200	Prankster
IDS_PROPMOVER_TXT_000201	
IDS_PROPMOVER_TXT_000202	Mastermage Prankster
IDS_PROPMOVER_TXT_000203	
IDS_PROPMOVER_TXT_000204	Giantmage Prankster
IDS_PROPMOVER_TXT_000205	
IDS_PROPMOVER_TXT_000206	Rough Wheelem
IDS_PROPMOVER_TXT_000207	
IDS_PROPMOVER_TXT_000208	Wheelem
IDS_PROPMOVER_TXT_000209	
IDS_PROPMOVER_TXT_000210	Bouncing Wheelem
IDS_PROPMOVER_TXT_000211	
IDS_PROPMOVER_TXT_000212	Giant Wheelem
IDS_PROPMOVER_TXT_000213	
IDS_PROPMOVER_TXT_000214	Small Leyena
IDS_PROPMOVER_TXT_000215	
IDS_PROPMOVER_TXT_000216	Leyena
IDS_PROPMOVER_TXT_000217	
IDS_PROPMOVER_TXT_000218	Captain Leyena
IDS_PROPMOVER_TXT_000219	
IDS_PROPMOVER_TXT_000220	Giant Leyena
IDS_PROPMOVER_TXT_000221	
IDS_PROPMOVER_TXT_000222	Small Steamwalker
IDS_PROPMOVER_TXT_000223	
IDS_PROPMOVER_TXT_000224	Steamwalker
IDS_PROPMOVER_TXT_000225	
IDS_PROPMOVER_TXT_000226	Captain Steamwalker
IDS_PROPMOVER_TXT_000227	
IDS_PROPMOVER_TXT_000228	Giant Steamwalker
IDS_PROPMOVER_TXT_000229	
IDS_PROPMOVER_TXT_000230	Small Steel Knight
IDS_PROPMOVER_TXT_000231	
IDS_PROPMOVER_TXT_000232	Steel Knight
IDS_PROPMOVER_TXT_000233	
IDS_PROPMOVER_TXT_000234	Captain Steel Knight
IDS_PROPMOVER_TXT_000235	
IDS_PROPMOVER_TXT_000236	Giant Steel Knight
IDS_PROPMOVER_TXT_000237	
IDS_PROPMOVER_TXT_000238	Small Nutty Wheel
IDS_PROPMOVER_TXT_000239	
IDS_PROPMOVER_TXT_000240	Nutty Wheel
IDS_PROPMOVER_TXT_000241	
IDS_PROPMOVER_TXT_000242	Captain Nutty Wheel
IDS_PROPMOVER_TXT_000243	
IDS_PROPMOVER_TXT_000244	Giant Nutty Wheel
IDS_PROPMOVER_TXT_000245	
IDS_PROPMOVER_TXT_000246	Small Driller
IDS_PROPMOVER_TXT_000247	
IDS_PROPMOVER_TXT_000248	Driller
IDS_PROPMOVER_TXT_000249	
IDS_PROPMOVER_TXT_000250	Captain Driller
IDS_PROPMOVER_TXT_000251	
IDS_PROPMOVER_TXT_000252	Giant Driller
IDS_PROPMOVER_TXT_000253	
IDS_PROPMOVER_TXT_000254	Small Volt
IDS_PROPMOVER_TXT_000255	
IDS_PROPMOVER_TXT_000256	Volt
IDS_PROPMOVER_TXT_000257	
IDS_PROPMOVER_TXT_000258	Captain Volt
IDS_PROPMOVER_TXT_000259	
IDS_PROPMOVER_TXT_000260	Giant Volt
IDS_PROPMOVER_TXT_000261	
IDS_PROPMOVER_TXT_000262	Small Elderguard
IDS_PROPMOVER_TXT_000263	
IDS_PROPMOVER_TXT_000264	Elderguard
IDS_PROPMOVER_TXT_000265	
IDS_PROPMOVER_TXT_000266	Captain Elderguard
IDS_PROPMOVER_TXT_000267	
IDS_PROPMOVER_TXT_000268	Giant Elderguard
IDS_PROPMOVER_TXT_000269	
IDS_PROPMOVER_TXT_000270	Small Garbagespider
IDS_PROPMOVER_TXT_000271	
IDS_PROPMOVER_TXT_000272	Garbagespider
IDS_PROPMOVER_TXT_000273	
IDS_PROPMOVER_TXT_000274	Captain Garbagespider
IDS_PROPMOVER_TXT_000275	
IDS_PROPMOVER_TXT_000276	Giant Garbagespider
IDS_PROPMOVER_TXT_000277	
IDS_PROPMOVER_TXT_000278	Small Crane Machinery
IDS_PROPMOVER_TXT_000279	
IDS_PROPMOVER_TXT_000280	Crane Machinery
IDS_PROPMOVER_TXT_000281	
IDS_PROPMOVER_TXT_000282	Captain Crane Machinery
IDS_PROPMOVER_TXT_000283	
IDS_PROPMOVER_TXT_000284	Giant Crane Machinery
IDS_PROPMOVER_TXT_000285	
IDS_PROPMOVER_TXT_000286	Small Mothbee
IDS_PROPMOVER_TXT_000287	
IDS_PROPMOVER_TXT_000288	Mothbee
IDS_PROPMOVER_TXT_000289	
IDS_PROPMOVER_TXT_000290	Captain Mothbee
IDS_PROPMOVER_TXT_000291	
IDS_PROPMOVER_TXT_000292	Giant Mothbee
IDS_PROPMOVER_TXT_000293	
IDS_PROPMOVER_TXT_000294	Small Flybrigen
IDS_PROPMOVER_TXT_000295	
IDS_PROPMOVER_TXT_000296	Flybrigen
IDS_PROPMOVER_TXT_000297	
IDS_PROPMOVER_TXT_000298	Captain Flybrigen
IDS_PROPMOVER_TXT_000299	
IDS_PROPMOVER_TXT_000300	Giant Flybrigen
IDS_PROPMOVER_TXT_000301	
IDS_PROPMOVER_TXT_000302	Small Rockepeller
IDS_PROPMOVER_TXT_000303	
IDS_PROPMOVER_TXT_000304	Rockepeller
IDS_PROPMOVER_TXT_000305	
IDS_PROPMOVER_TXT_000306	Captain Rockepeller
IDS_PROPMOVER_TXT_000307	
IDS_PROPMOVER_TXT_000308	Giant Rockepeller
IDS_PROPMOVER_TXT_000309	
IDS_PROPMOVER_TXT_000310	Small Circus Bear
IDS_PROPMOVER_TXT_000311	
IDS_PROPMOVER_TXT_000312	Circus Bear
IDS_PROPMOVER_TXT_000313	
IDS_PROPMOVER_TXT_000314	Captain Circus Bear
IDS_PROPMOVER_TXT_000315	
IDS_PROPMOVER_TXT_000316	Giant Circus Bear
IDS_PROPMOVER_TXT_000317	
IDS_PROPMOVER_TXT_000318	Pawn Popcrank
IDS_PROPMOVER_TXT_000319	
IDS_PROPMOVER_TXT_000320	Knight Popcrank
IDS_PROPMOVER_TXT_000321	
IDS_PROPMOVER_TXT_000322	Rook Popcrank
IDS_PROPMOVER_TXT_000323	
IDS_PROPMOVER_TXT_000324	Bishop Popcrank
IDS_PROPMOVER_TXT_000325	
IDS_PROPMOVER_TXT_000326	Small Greemong
IDS_PROPMOVER_TXT_000327	
IDS_PROPMOVER_TXT_000328	Greemong
IDS_PROPMOVER_TXT_000329	
IDS_PROPMOVER_TXT_000330	Captain Greemong
IDS_PROPMOVER_TXT_000331	
IDS_PROPMOVER_TXT_000332	Giant Greemong
IDS_PROPMOVER_TXT_000333	
IDS_PROPMOVER_TXT_000334	Small Pire
IDS_PROPMOVER_TXT_000335	
IDS_PROPMOVER_TXT_000336	Pire
IDS_PROPMOVER_TXT_000337	
IDS_PROPMOVER_TXT_000338	Captain Pire
IDS_PROPMOVER_TXT_000339	
IDS_PROPMOVER_TXT_000340	Giant Pire
IDS_PROPMOVER_TXT_000341	
IDS_PROPMOVER_TXT_000342	Small Clawdoll
IDS_PROPMOVER_TXT_000343	
IDS_PROPMOVER_TXT_000344	Clawdoll
IDS_PROPMOVER_TXT_000345	
IDS_PROPMOVER_TXT_000346	Captain Clawdoll
IDS_PROPMOVER_TXT_000347	
IDS_PROPMOVER_TXT_000348	Giant Clawdoll
IDS_PROPMOVER_TXT_000349	
IDS_PROPMOVER_TXT_000350	Small Carrierbomb
IDS_PROPMOVER_TXT_000351	
IDS_PROPMOVER_TXT_000352	Carrierbomb
IDS_PROPMOVER_TXT_000353	
IDS_PROPMOVER_TXT_000354	Captain Carrierbomb
IDS_PROPMOVER_TXT_000355	
IDS_PROPMOVER_TXT_000356	Giant Carrierbomb
IDS_PROPMOVER_TXT_000357	
IDS_PROPMOVER_TXT_000358	Small Rampagebutcher
IDS_PROPMOVER_TXT_000359	
IDS_PROPMOVER_TXT_000360	Small Rampagebutcher
IDS_PROPMOVER_TXT_000361	
IDS_PROPMOVER_TXT_000362	Captain Rampagebutcher
IDS_PROPMOVER_TXT_000363	
IDS_PROPMOVER_TXT_000364	Giant Rampagebutcher
IDS_PROPMOVER_TXT_000365	
IDS_PROPMOVER_TXT_000366	Small Froziest
IDS_PROPMOVER_TXT_000367	
IDS_PROPMOVER_TXT_000368	Froziest
IDS_PROPMOVER_TXT_000369	
IDS_PROPMOVER_TXT_000370	Captain Froziest
IDS_PROPMOVER_TXT_000371	
IDS_PROPMOVER_TXT_000372	Giant Froziest
IDS_PROPMOVER_TXT_000373	
IDS_PROPMOVER_TXT_000374	Small BurnBird
IDS_PROPMOVER_TXT_000375	
IDS_PROPMOVER_TXT_000376	BurnBird
IDS_PROPMOVER_TXT_000377	
IDS_PROPMOVER_TXT_000378	Captain BurnBird
IDS_PROPMOVER_TXT_000379	
IDS_PROPMOVER_TXT_000380	Giant BurnBird
IDS_PROPMOVER_TXT_000381	
IDS_PROPMOVER_TXT_000382	Clockworks
IDS_PROPMOVER_TXT_000383	
IDS_PROPMOVER_TXT_000384	Small Bucketfoot
IDS_PROPMOVER_TXT_000385	
IDS_PROPMOVER_TXT_000386	Bucketfoot
IDS_PROPMOVER_TXT_000387	
IDS_PROPMOVER_TXT_000388	Captain Bucketfoot
IDS_PROPMOVER_TXT_000389	
IDS_PROPMOVER_TXT_000390	Giant Bucketfoot
IDS_PROPMOVER_TXT_000391	
IDS_PROPMOVER_TXT_000392	Small Nuctuvehiclel
IDS_PROPMOVER_TXT_000393	
IDS_PROPMOVER_TXT_000394	Nuctuvehicle
IDS_PROPMOVER_TXT_000395	
IDS_PROPMOVER_TXT_000396	Captain Nuctuvehicle
IDS_PROPMOVER_TXT_000397	
IDS_PROPMOVER_TXT_000398	Giant Nuctuvehicle
IDS_PROPMOVER_TXT_000399	
IDS_PROPMOVER_TXT_000400	Young Syliaca
IDS_PROPMOVER_TXT_000401	
IDS_PROPMOVER_TXT_000402	Syliaca
IDS_PROPMOVER_TXT_000403	
IDS_PROPMOVER_TXT_000404	Grownup Syliaca
IDS_PROPMOVER_TXT_000405	
IDS_PROPMOVER_TXT_000406	Giant Syliaca
IDS_PROPMOVER_TXT_000407	
IDS_PROPMOVER_TXT_000408	Small Risem
IDS_PROPMOVER_TXT_000409	
IDS_PROPMOVER_TXT_000410	Risem
IDS_PROPMOVER_TXT_000411	
IDS_PROPMOVER_TXT_000412	Captain Risem
IDS_PROPMOVER_TXT_000413	
IDS_PROPMOVER_TXT_000414	Giant Risem
IDS_PROPMOVER_TXT_000415	
IDS_PROPMOVER_TXT_000416	Small Zombiger
IDS_PROPMOVER_TXT_000417	
IDS_PROPMOVER_TXT_000418	Zombiger
IDS_PROPMOVER_TXT_000419	
IDS_PROPMOVER_TXT_000420	Captain Zombiger
IDS_PROPMOVER_TXT_000421	
IDS_PROPMOVER_TXT_000422	Giant Zombiger
IDS_PROPMOVER_TXT_000423	
IDS_PROPMOVER_TXT_000424	Small Flybat
IDS_PROPMOVER_TXT_000425	
IDS_PROPMOVER_TXT_000426	Flybat
IDS_PROPMOVER_TXT_000427	
IDS_PROPMOVER_TXT_000428	Captain Flybat
IDS_PROPMOVER_TXT_000429	
IDS_PROPMOVER_TXT_000430	Giant Flybat
IDS_PROPMOVER_TXT_000431	
IDS_PROPMOVER_TXT_000432	Small Bucrow
IDS_PROPMOVER_TXT_000433	
IDS_PROPMOVER_TXT_000434	Bucrow
IDS_PROPMOVER_TXT_000435	
IDS_PROPMOVER_TXT_000436	Captain Bucrow
IDS_PROPMOVER_TXT_000437	
IDS_PROPMOVER_TXT_000438	Giant Bucrow
IDS_PROPMOVER_TXT_000439	
IDS_PROPMOVER_TXT_000440	Small Scorpion
IDS_PROPMOVER_TXT_000441	
IDS_PROPMOVER_TXT_000442	Scorpion
IDS_PROPMOVER_TXT_000443	
IDS_PROPMOVER_TXT_000444	Captain Scorpion
IDS_PROPMOVER_TXT_000445	
IDS_PROPMOVER_TXT_000446	Giant Scorpion
IDS_PROPMOVER_TXT_000447	
IDS_PROPMOVER_TXT_000448	Small Trangfoma
IDS_PROPMOVER_TXT_000449	
IDS_PROPMOVER_TXT_000450	Trangfoma
IDS_PROPMOVER_TXT_000451	
IDS_PROPMOVER_TXT_000452	Captain Trangfoma
IDS_PROPMOVER_TXT_000453	
IDS_PROPMOVER_TXT_000454	Giant Trangfoma
IDS_PROPMOVER_TXT_000455	
IDS_PROPMOVER_TXT_000456	Mine Catcher
IDS_PROPMOVER_TXT_000457	
IDS_PROPMOVER_TXT_000458	Erons Catcher
IDS_PROPMOVER_TXT_000459	
IDS_PROPMOVER_TXT_000460	Krasec Catcher
IDS_PROPMOVER_TXT_000461	
IDS_PROPMOVER_TXT_000462	Guru Catcher
IDS_PROPMOVER_TXT_000463	
IDS_PROPMOVER_TXT_000464	Small Grrr
IDS_PROPMOVER_TXT_000465	
IDS_PROPMOVER_TXT_000466	Grrr
IDS_PROPMOVER_TXT_000467	
IDS_PROPMOVER_TXT_000468	Captain Grrr
IDS_PROPMOVER_TXT_000469	
IDS_PROPMOVER_TXT_000470	Giant Grrr
IDS_PROPMOVER_TXT_000471	
IDS_PROPMOVER_TXT_000472	Small Dump
IDS_PROPMOVER_TXT_000473	
IDS_PROPMOVER_TXT_000474	Dump
IDS_PROPMOVER_TXT_000475	
IDS_PROPMOVER_TXT_000476	Captain Dump
IDS_PROPMOVER_TXT_000477	
IDS_PROPMOVER_TXT_000478	Giant Dump
IDS_PROPMOVER_TXT_000479	
IDS_PROPMOVER_TXT_000480	Small Nautrepy
IDS_PROPMOVER_TXT_000481	
IDS_PROPMOVER_TXT_000482	Nautrepy
IDS_PROPMOVER_TXT_000483	
IDS_PROPMOVER_TXT_000484	Captain Nautrepy
IDS_PROPMOVER_TXT_000485	
IDS_PROPMOVER_TXT_000486	Giant Nautrepy
IDS_PROPMOVER_TXT_000487	
IDS_PROPMOVER_TXT_000488	Small Boo
IDS_PROPMOVER_TXT_000489	
IDS_PROPMOVER_TXT_000490	Boo
IDS_PROPMOVER_TXT_000491	
IDS_PROPMOVER_TXT_000492	Captain Boo
IDS_PROPMOVER_TXT_000493	
IDS_PROPMOVER_TXT_000494	Giant Boo
IDS_PROPMOVER_TXT_000495	
IDS_PROPMOVER_TXT_000496	Small Hopper
IDS_PROPMOVER_TXT_000497	
IDS_PROPMOVER_TXT_000498	Hopper
IDS_PROPMOVER_TXT_000499	
IDS_PROPMOVER_TXT_000500	Captain Hopper
IDS_PROPMOVER_TXT_000501	
IDS_PROPMOVER_TXT_000502	Giant Hopper
IDS_PROPMOVER_TXT_000503	
IDS_PROPMOVER_TXT_000504	Small Mushpoie
IDS_PROPMOVER_TXT_000505	
IDS_PROPMOVER_TXT_000506	Mushpoie
IDS_PROPMOVER_TXT_000507	
IDS_PROPMOVER_TXT_000508	Captain Mushpoie
IDS_PROPMOVER_TXT_000509	
IDS_PROPMOVER_TXT_000510	Giant Mushpoie
IDS_PROPMOVER_TXT_000511	
IDS_PROPMOVER_TXT_000512	Small Iren
IDS_PROPMOVER_TXT_000513	
IDS_PROPMOVER_TXT_000514	Iren
IDS_PROPMOVER_TXT_000515	
IDS_PROPMOVER_TXT_000516	Captain Iren
IDS_PROPMOVER_TXT_000517	
IDS_PROPMOVER_TXT_000518	Giant Iren
IDS_PROPMOVER_TXT_000519	
IDS_PROPMOVER_TXT_000520	Small Watangka
IDS_PROPMOVER_TXT_000521	
IDS_PROPMOVER_TXT_000522	Watangka
IDS_PROPMOVER_TXT_000523	
IDS_PROPMOVER_TXT_000524	Captain Watangka
IDS_PROPMOVER_TXT_000525	
IDS_PROPMOVER_TXT_000526	Giant Watangka
IDS_PROPMOVER_TXT_000527	
IDS_PROPMOVER_TXT_000528	Small Antiquery
IDS_PROPMOVER_TXT_000529	
IDS_PROPMOVER_TXT_000530	Antiquery
IDS_PROPMOVER_TXT_000531	
IDS_PROPMOVER_TXT_000532	Captain Antiquery
IDS_PROPMOVER_TXT_000533	
IDS_PROPMOVER_TXT_000534	Giant Antiquery
IDS_PROPMOVER_TXT_000535	
IDS_PROPMOVER_TXT_000536	Small Luia
IDS_PROPMOVER_TXT_000537	
IDS_PROPMOVER_TXT_000538	Luia
IDS_PROPMOVER_TXT_000539	
IDS_PROPMOVER_TXT_000540	Captain Luia
IDS_PROPMOVER_TXT_000541	
IDS_PROPMOVER_TXT_000542	Giant Luia
IDS_PROPMOVER_TXT_000543	
IDS_PROPMOVER_TXT_000544	Small Gongury
IDS_PROPMOVER_TXT_000545	
IDS_PROPMOVER_TXT_000546	Gongury
IDS_PROPMOVER_TXT_000547	
IDS_PROPMOVER_TXT_000548	Captain Gongury
IDS_PROPMOVER_TXT_000549	
IDS_PROPMOVER_TXT_000550	Giant Gongury
IDS_PROPMOVER_TXT_000551	
IDS_PROPMOVER_TXT_000552	Small Shuhamma
IDS_PROPMOVER_TXT_000553	
IDS_PROPMOVER_TXT_000554	Shuhamma
IDS_PROPMOVER_TXT_000555	
IDS_PROPMOVER_TXT_000556	Captain Shuhamma
IDS_PROPMOVER_TXT_000557	
IDS_PROPMOVER_TXT_000558	Giant Shuhamma
IDS_PROPMOVER_TXT_000559	
IDS_PROPMOVER_TXT_000560	Small Kern
IDS_PROPMOVER_TXT_000561	
IDS_PROPMOVER_TXT_000562	Kern
IDS_PROPMOVER_TXT_000563	
IDS_PROPMOVER_TXT_000564	Captain Kern
IDS_PROPMOVER_TXT_000565	
IDS_PROPMOVER_TXT_000566	Giant Kern
IDS_PROPMOVER_TXT_000567	
IDS_PROPMOVER_TXT_000568	Small Glaphan
IDS_PROPMOVER_TXT_000569	
IDS_PROPMOVER_TXT_000570	Glaphan
IDS_PROPMOVER_TXT_000571	
IDS_PROPMOVER_TXT_000572	Captain Glaphan
IDS_PROPMOVER_TXT_000573	
IDS_PROPMOVER_TXT_000574	Giant Glaphan
IDS_PROPMOVER_TXT_000575	
IDS_PROPMOVER_TXT_000576	Trainee Chef Muffrin
IDS_PROPMOVER_TXT_000577	
IDS_PROPMOVER_TXT_000578	Apprentice Chef Muffrin
IDS_PROPMOVER_TXT_000579	
IDS_PROPMOVER_TXT_000580	Assistant Chef Muffrin
IDS_PROPMOVER_TXT_000581	
IDS_PROPMOVER_TXT_000582	Expert Chef Muffrin
IDS_PROPMOVER_TXT_000583	
IDS_PROPMOVER_TXT_000584	Mutant Fefern
IDS_PROPMOVER_TXT_000585	
IDS_PROPMOVER_TXT_000586	Mutant Fefern King
IDS_PROPMOVER_TXT_000587	
IDS_PROPMOVER_TXT_000588	Mutant Giant Fefern
IDS_PROPMOVER_TXT_000589	
